Cycle,SeqState,PlugInfo,FLAG_Stop,FLAG_Relay,Ia,Ib,Ic,FaultState,Charg_Cnt,Real_Battery_Voltage,Expected Battery_Voltage,H,CanMsg_Received,IsoR
33,2,2,0,1,19,16,18,0,18,398,400,18,1,800000
34,2,2,0,1,17,18,19,0,19,398,400,18,1,800000
35,2,2,0,1,16,17,17,0,20,399,400,18,1,800000
36,2,2,0,1,18,17,16,0,21,400,400,18,1,800000
37,2,2,0,1,17,16,18,0,22,400,400,19,1,800000
38,2,2,0,1,17,18,17,0,23,400,400,19,1,800000
39,2,2,0,1,19,16,18,0,24,401,400,19,1,800000
40,2,2,0,1,17,18,19,0,25,400,400,19,1,800000
41,2,2,0,1,16,17,17,0,26,401,400,20,1,800000
42,2,2,0,1,18,17,16,0,27,399,400,20,1,800000
43,2,2,0,1,17,16,18,0,28,398,400,20,1,800000
44,2,2,0,1,17,18,17,0,29,398,400,20,1,800000
45,2,2,0,1,19,16,18,0,30,399,400,20,1,800000
46,2,2,0,1,17,18,19,0,31,400,400,21,1,800000
47,2,2,0,1,16,17,17,0,32,400,400,21,1,800000
48,2,2,0,1,18,17,16,0,33,400,400,21,1,800000
49,2,2,0,1,17,16,18,0,34,401,400,21,1,800000
50,2,2,0,1,17,18,17,0,35,400,400,21,1,800000
51,2,2,0,1,19,16,18,0,36,401,400,22,1,800000
52,2,2,0,1,17,18,19,0,37,399,400,22,1,800000
53,2,2,0,1,16,17,17,0,38,398,400,22,1,800000
54,2,2,0,1,18,17,16,0,39,398,400,22,1,800000
55,2,2,0,1,17,16,18,0,40,399,400,23,1,800000
56,2,2,0,1,17,18,17,0,41,400,400,23,1,800000
57,2,2,0,1,19,16,18,0,42,400,400,23,1,800000
58,2,2,0,1,17,18,19,0,43,400,400,23,1,800000
59,2,2,0,1,16,17,17,0,44,401,400,23,1,800000
60,2,2,0,1,18,17,16,0,45,400,400,24,1,800000
61,2,2,0,1,17,16,18,0,46,401,400,24,1,800000
62,2,2,0,1,17,18,17,0,47,399,400,24,1,800000
63,2,2,0,1,19,16,18,0,48,398,400,24,1,800000
64,2,2,0,1,17,18,19,0,49,400,400,24,1,800000
65,2,2,0,1,16,17,17,0,50,401,400,25,1,800000
66,2,2,0,1,18,17,16,0,51,399,400,25,1,800000
67,2,2,0,1,17,16,18,0,52,398,400,25,1,800000
68,2,2,0,1,17,18,17,0,53,398,400,25,1,800000
69,2,2,0,1,17,18,19,0,54,399,400,26,1,800000
70,2,2,0,1,16,17,17,0,55,400,400,26,1,800000
71,2,2,0,1,18,17,16,0,56,400,400,26,1,800000
72,2,2,0,1,17,16,18,0,57,400,400,26,1,800000
73,2,2,0,1,17,18,17,0,58,401,400,26,1,800000
74,2,2,0,1,19,16,18,0,59,400,400,27,1,800000
75,2,2,0,1,17,18,19,0,60,401,400,27,1,800000
76,2,2,0,1,16,17,17,0,61,399,400,27,1,800000
77,2,2,0,1,18,17,16,0,62,398,400,27,1,800000
78,2,2,0,1,17,16,18,0,63,400,400,27,1,800000
79,2,2,0,1,17,18,17,0,64,401,400,28,1,800000
80,2,2,0,1,19,16,18,0,65,399,400,28,1,800000
81,2,2,0,1,17,18,19,0,66,398,400,28,1,800000
82,2,2,0,1,16,17,17,0,67,398,400,28,1,800000
83,2,2,0,1,18,17,16,0,68,399,400,29,1,800000
84,2,2,0,1,17,16,18,0,69,400,400,29,1,800000
85,2,2,0,1,17,18,17,1,70,400,400,29,0,800000
86,2,2,0,1,19,16,18,1,71,400,400,29,1,800000
87,2,2,0,1,17,18,19,1,72,401,400,29,1,800000
88,2,2,0,1,16,17,17,1,73,400,400,30,0,800000
89,2,2,0,1,17,18,19,1,74,401,400,30,0,800000
90,2,2,0,1,16,17,17,1,75,399,400,30,1,800000
91,2,2,0,1,18,17,16,1,76,398,400,30,1,800000
92,2,2,0,1,17,16,18,1,77,400,400,30,1,800000
93,2,2,0,1,17,18,17,1,78,401,400,29,0,800000
57,2,2,1,0,19,16,18,2,78,413,400,27,0,800000
58,3,2,1,0,0,0,0,2,78,414,400,26,0,800000
59,3,2,1,0,0,0,0,2,78,414,400,26,0,800000
60,3,2,1,0,0,0,0,2,78,415,400,25,0,800000
72,3,2,1,0,0,0,0,2,78,410,400,25,0,800000
73,3,2,1,0,0,0,0,2,78,410,400,25,0,800000
74,3,2,1,0,0,0,0,2,78,409,400,24,0,800000
75,3,2,1,0,0,0,0,2,78,408,400,24,1,800000
76,3,2,1,0,0,0,0,2,78,407,400,24,1,800000
77,3,2,1,0,0,0,0,2,78,406,400,23,1,800000
78,3,2,1,0,0,0,0,2,78,405,400,23,1,800000
68,3,2,0,1,0,0,0,2,78,398,400,23,1,800000
69,4,2,0,1,0,0,0,0,0,399,400,23,1,800000
