Cycle,SeqState,PlugInfo,FLAG_Stop,FLAG_Relay,Ia,Ib,Ic,FaultState,Charg_Cnt,Real_Battery_Voltage,Expected Battery_Voltage,H,CanMsg_Received,IsoR
33,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
34,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
35,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
36,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
37,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
38,0,1,1,0,0,0,0,0,0,398,400,15,1,800000
39,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
40,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
41,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
42,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
43,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
44,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
45,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
46,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
47,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
48,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
49,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
50,3,1,1,0,0,0,0,0,0,399,400,15,1,800000
51,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
52,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
53,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
54,3,1,1,0,0,0,0,0,0,401,400,15,1,800000
55,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
56,3,1,1,0,0,0,0,0,0,401,400,15,1,800000
57,3,1,1,0,0,0,0,0,0,399,400,16,1,800000
58,3,1,1,0,0,0,0,0,0,398,400,16,1,800000
59,3,1,1,0,0,0,0,0,0,399,400,16,1,800000
60,3,1,1,0,0,0,0,0,0,400,400,16,1,800000
61,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
62,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
63,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
64,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
65,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
66,0,1,1,0,0,0,0,0,0,398,400,15,1,800000
67,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
68,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
69,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
70,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
71,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
72,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
73,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
74,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
75,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
76,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
77,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
78,3,1,1,0,0,0,0,0,0,399,400,15,1,800000
79,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
80,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
81,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
82,3,1,1,0,0,0,0,0,0,401,400,15,1,800000
83,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
84,3,1,1,0,0,0,0,0,0,401,400,15,1,800000
85,3,1,1,0,0,0,0,0,0,399,400,16,1,800000
86,3,1,1,0,0,0,0,0,0,398,400,16,1,800000
87,3,1,1,0,0,0,0,0,0,399,400,16,1,800000
88,3,1,1,0,0,0,0,0,0,400,400,16,1,800000
89,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
90,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
91,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
92,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
93,4,1,1,0,0,0,0,0,0,400,400,17,1,800000
94,0,1,1,0,0,0,0,0,0,398,400,15,1,800000
95,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
96,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
97,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
98,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
99,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
100,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
101,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
102,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
103,1,1,1,0,0,0,0,0,0,399,400,15,1,800000
104,1,1,1,0,0,0,0,0,0,400,400,15,1,800000
105,1,1,1,0,0,0,0,0,0,398,400,15,1,800000
106,3,1,1,0,0,0,0,0,0,399,400,15,1,800000
107,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
108,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
109,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
110,3,1,1,0,0,0,0,0,0,401,400,15,1,800000
111,3,1,1,0,0,0,0,0,0,400,400,15,1,800000
112,3,1,1,0,0,0,0,0,0,401,400,15,1,800000
113,3,1,1,0,0,0,0,0,0,399,400,16,1,800000
114,3,1,1,0,0,0,0,0,0,398,400,16,1,800000
115,3,1,1,0,0,0,0,0,0,399,400,16,1,800000
116,3,1,1,0,0,0,0,0,0,400,400,16,1,800000
117,5,1,1,0,0,0,0,0,0,400,400,17,1,800000
